10m/s,
0.307253839205059,0.009074074074074
0.494965371875941,0.022469135802469
0.555874736525143,0.031975308641975
0.621680216802168,0.038888888888889
0.69967780788919,0.046234567901235
0.731352002408913,0.050987654320988
0.840834086118639,0.090308641975309
0.981936163806082,0.14216049382716
1.09616380608251,0.200493827160494
1.16433905450166,0.217345679012346
1.22766937669377,0.229444444444444
1.31292381812707,0.245432098765432
1.38350195724179,0.267469135802469
1.42492622704005,0.273086419753086
1.50287262872629,0.287777777777778
1.57110207768744,0.296851851851852
1.63700692562481,0.289506172839506
1.69316470942487,0.280864197530864
1.71758807588076,0.276111111111111
1.77135501355014,0.260555555555556
1.82760012044565,0.239382716049383
