CleanExp,,CleanOF,,GFEXP,,GFOF,
-1.76966292134832,0.025727203545369,-1.93820224719101,0.000250682662608,-4.85955056179775,-0.002564125520391,-4.77528089887641,0.000612381932942
-1.51685393258427,0.048005729889431,-1.03932584269663,0.095753614754465,-4.04494382022472,0.09294955011415,-3.79213483146068,0.121602578450244
-1.26404494382023,0.063909754241461,0.505617977528088,0.27085545458615,-3.03370786516854,0.229872420430637,-2.5,0.277613142933882
-1.01123595505618,0.102124535565602,1.85393258426966,0.423671605711983,-1.99438202247191,0.354042705582166,-1.48876404494382,0.395412507274274
0.028089887640448,0.207171314741036,3.45505617977528,0.598766283181879,-1.01123595505618,0.471845651103451,-0.449438202247192,0.519582792425802
1.03932584269663,0.305847173105331,4.41011235955056,0.70063655490398,0.028089887640448,0.5800796812749,1.60112359550562,0.761552441917722
2.07865168539326,0.420455705268812,6.03932584269663,0.875727651192981,1.06741573033708,0.688313711446349,2.64044943820224,0.879348225077219
3.08988764044944,0.528693316621156,7.05056179775281,0.977590760553292,2.07865168539326,0.802925824790724,3.67977528089887,0.997144008236716
4.10112359550562,0.627369174985452,8.6938202247191,1.1224011817897,3.06179775280899,0.92072877031201,4.7191011235955,1.11493979139621
4.60674157303371,0.671926227673575,9.32584269662921,1.15897399167375,4.10112359550562,1.03215005147948,5.81460674157303,1.23910291418595
4.85955056179775,0.687830252025605,9.9438202247191,1.18120596266619,5.1123595505618,1.12763865884775,6.88202247191011,1.34733336317651
5.1123595505618,0.713296029365683,10.6179775280899,1.19386901830879,6.09550561797753,1.21038184341287,8.06179775280899,1.45554948744348
6.12359550561798,0.815159138725995,11.2921348314607,1.18422131697927,7.1629213483146,1.27717802945521,8.70786516853933,1.48733963024307
7.13483146067415,0.866026232150051,11.9943820224719,1.15225927749675,8.17415730337078,1.31848336989122,9.07303370786517,1.49685482787949
8.14606741573033,0.934423206052196,,,9.18539325842696,1.33110345136309,9.41011235955056,1.49362460271274
9.15730337078652,0.98688392497426,,,10.1966292134831,1.34053628183894,9.80337078651685,1.48719996418819
10.1685393258427,1.03137651640629,,,11.2078651685393,1.36271811629885,10.0842696629213,1.4584788934151
11.1516853932584,1.08224719101124,,,12.1910112359551,1.36896727695958,10.3932584269663,1.3851327275169
12.2191011235955,1.12035811808944,,,13.2022471910112,1.35927660145933,10.561797752809,1.34686422847934
13.1741573033708,1.14892161690317,,,14.185393258427,1.32090424817584,11.0112359550562,1.23525314472447
14.185393258427,1.15516719638301,,,,,,
14.6910112359551,1.13597922915081,,,,,,
15.1966292134831,1.07854424996643,,,,,,
16.1516853932584,0.966868704955459,,,,,,
17.1067415730337,0.826507900980348,,,,,,
