CleanExp,,Clean Overflow,,GF EXP,,GF Overflow,
0.006438547582362,0.000714538936165,0.010232004447246,0.004464902757872,0.018306239249155,0.005360973207549,0.023805071571144,0.00597122808276
0.005672514942554,0.030593853585731,0.010126975500143,0.054393793718955,0.018200672328721,0.098571611837069,0.02338644555503,0.085829644537571
0.005411246125557,0.050541077022607,0.010091634790597,0.097671679014764,0.018477480298451,0.228447753823404,0.02321185251806,0.132421445548133
0.005306631004093,0.067176315931046,0.010125899553482,0.140957289055829,0.018789091004396,0.358327758182368,0.023141667689736,0.179024833676579
0.005219210337916,0.10046031205212,0.010194967052582,0.184246761469523,0.018996500414515,0.471549349397125,0.023140508977947,0.272247059423983
0.005287491568303,0.207007723365837,0.010298795905333,0.230869461461108,0.018473093746681,0.581360465581432,0.023208955738589,0.365477009916642
0.005321052827602,0.306892541896398,0.010471816404876,0.310793538250594,0.018332475794649,0.694543433069911,0.02331224661801,0.455381457576665
0.005389209910296,0.423428048825908,0.010575686640191,0.354086873036915,0.018609490677198,0.807772749029924,0.023519862940949,0.5519562227651
0.005527137995677,0.526653819679616,0.010749162347936,0.397387932568492,0.018608042287463,0.924300531214178,0.023762406147794,0.638546754710371
0.005699868817273,0.629883452905953,0.011131040647334,0.47400581838848,0.020277166618617,1.03768434207931,0.024039669325726,0.731799879438797
0.006395385568245,0.673242448026948,0.011512877564167,0.553953069413734,0.021285204491939,1.13767730704345,0.024421423477432,0.818405860874579
0.007613315805519,0.686695091889983,0.012033966808425,0.630586404724234,0.022467504341721,1.21771339263915,0.024907668602911,0.898364699017716
0.009457509073127,0.71519940188401,0.01258998293659,0.697235506791569,0.023545602895676,1.28109106509063,0.02539391372839,0.978323537160853
0.01084831497097,0.820228900754956,0.013180801800969,0.763888471231531,0.026364086555771,1.32468566494193,0.025984608445078,1.05496459721661
0.01203102864639,0.866971334298007,0.013841350285471,0.820561064800957,0.030053093829446,1.33175380685102,0.02657534454433,1.1282762920671
0.014466351147608,0.937158369692514,0.014606306978618,0.877245245488266,,,0.02723576888114,1.19493698125232
0.017180302451365,0.990729478041722,0.015336626465805,0.92060810298189,,,0.028035528310502,1.25162502431226
0.020973221342919,1.03776158953187,0.016136551425423,0.963978685220769,,,0.028974705597544,1.29168169083638
0.024383310136107,1.0847512149231,0.016936559150168,1.00069053704912,,,0.029844401559847,1.32174253699946
0.028524339154941,1.125163219729,0.017840933700995,1.04074334120062,,,,
0.030055618165842,1.12866252932989,0.018571418718437,1.07078873787318,,,,
,,0.019510720153171,1.10085730878152,,,,
,,0.020310893408171,1.12425169978881,,,,
,,0.021285163109376,1.14100667224871,,,,
,,0.022189910103277,1.15109518955283,,,,
,,0.023129480524676,1.15952288662695,,,,
,,0.024034289592423,1.16461735612317,,,,
,,0.024904275232674,1.1713726458494,,,,
,,0.025878669081569,1.17813952269351,,,,
,,0.027688287217064,1.18832846168595,,,,
,,0.028558355622442,1.18842502100165,,,,
,,0.029532749471338,1.19519189784576,,,,
,,0.030054790514565,1.19524983343518,,,,
