Clean,,.5%1c,,1%1c,,2%1c,,2%.95c,,2%.9c,
-12.0696400625978,-0.459511687539485,-6.09937402190923,-0.349143822182582,-11.056338028169,-0.507081480380377,-8.09859154929577,-0.396486512154133,-7.13792106208291,-0.267596281540505,-8.13257974391741,-0.416334661354581
-11.0837245696401,-0.555892080716488,-5.08607198748044,-0.222571134812392,-10.0978090766823,-0.563881972574231,-7.11267605633803,-0.263315454143801,-6.08947334352318,-0.164010624169987,-7.13744602303574,-0.250332005312085
-10.0978090766823,-0.573116801070273,-4.07276995305164,-0.095998447442202,-9.11189358372457,-0.521739938310602,-6.07198748043818,-0.163130055619557,-4.98486139300241,-0.01925630810093,-6.11618515455996,-0.134794156706508
-9.11189358372457,-0.552082946226169,-3.05946791862285,0.016062366577064,-8.12597809076682,-0.473001597978371,-5.05868544600939,-0.0062143603338,-4.07369995907356,0.094953519256308,-5.06751818720924,-0.02324037184595
-8.09859154929577,-0.504665931679198,-2.018779342723,0.153187079085477,-7.11267605633803,-0.358302261531664,-4.04538341158059,0.145424290097076,-2.03019160256249,0.361885790172642,-4.04636694312896,0.088313413014608
-7.11267605633803,-0.445373501637205,-1.03286384976526,0.274484786172326,-6.09937402190923,-0.289777067565168,-3.0320813771518,0.282551067177029,0.012147427063233,0.586321381142098,-3.05200059301578,0.226427622841965
-6.09937402190923,-0.388721658594191,0.007824726134587,0.395778364116095,-5.05868544600939,-0.144736787774433,-1.99139280125195,0.426272085754044,1.03348137846935,0.704515272244356,-2.03044739281867,0.352589641434262
-5.08607198748044,-0.307003852490493,1.02112676056338,0.503881394494201,-4.04538341158059,-0.019483361617963,-1.00547730829421,0.554166098909493,2.05470570547997,0.818725099601593,-1.00914998287771,0.469455511288181
-4.07276995305164,-0.202858605753548,2.06181533646323,0.619897927583089,-3.0320813771518,0.129516766385472,0.035211267605632,0.672821154425822,3.10348229722619,0.934262948207171,0.011855095341904,0.575697211155378
-3.05946791862285,-0.105309665085205,3.07511737089202,0.731958741602355,-1.99139280125195,0.265322217680165,1.04851330203443,0.782243446017648,4.0972639838967,1.05112881806109,1.03300633942218,0.687250996015936
-2.04616588419405,-0.010399246844302,3.56807511737089,0.784692027863458,-1.00547730829421,0.391896969621894,2.06181533646323,0.896942782464355,5.11808635479049,1.15073041168659,2.05426720789796,0.802788844621514
-1.77230046948357,0.01992311535587,4.08841940532081,0.832146204698139,0.007824726134587,0.49868073878628,3.07511737089202,1.01164211891106,6.13883564275393,1.2476759628154,3.07567424223441,0.923638778220452
-1.52582159624413,0.044970497272701,5.10172143974961,0.915183272015559,1.02112676056338,0.618657120087868,4.08841940532081,1.10391401472452,7.15907335020505,1.32602921646746,4.0967158619192,1.03120849933599
-1.25195618153364,0.06078098612195,6.1150234741784,0.982389204768334,2.06181533646323,0.734673653176756,5.10172143974961,1.20014369417915,9.19721011133662,1.39774236387782,5.11750169134782,1.12948207171315
-1.03286384976526,0.096384522320084,7.1283255086072,1.04431809266623,3.07511737089202,0.840138161127421,6.14241001564945,1.28713648056619,10.1881781051893,1.41235059760956,6.13788556465959,1.21314741035857
0.007824726134587,0.201846965699208,8.14162754303599,1.0851388011446,4.08841940532081,0.929771534513442,7.1283255086072,1.36226004517283,11.1792557234375,1.43094289508632,7.13027867565378,1.27954847277556
1.02112676056338,0.300715167581272,9.18231611893584,1.14442710204351,5.10172143974961,1.02995899760923,8.16901408450703,1.42154834607174,12.1974836503044,1.43625498007968,8.17686277949001,1.31540504648074
2.06181533646323,0.41541243945644,10.1956181533646,1.18129002688072,6.1150234741784,1.11827310978153,9.20970266040689,1.44653585541393,13.2150172893332,1.41633466135458,9.16779423187752,1.32868525896414
3.07511737089202,0.522196208620825,11.2089201877934,1.20100255593957,7.1283255086072,1.1854790425343,10.2230046948357,1.47284469054137,14.174851954864,1.29946879150066,10.1861683246051,1.33930942895086
4.08841940532081,0.623702932930329,12.1948356807512,1.23654828413459,8.16901408450704,1.23421325372345,11.2089201877934,1.48860150053059,15.078595471364,1.14409030544489,11.2049443734496,1.36454183266932
4.58137715179969,0.667201390695389,13.20813771518,1.25758007440716,9.18231611893585,1.27107617856066,12.1948356807512,1.46741899653565,,,12.1681408537757,1.36985391766268
4.85524256651017,0.683011879544638,14.2214397496088,1.23375698341323,10.1956181533647,1.29474649126067,13.20813771518,1.39874102427523,,,13.2135190892614,1.36188579017264
5.10172143974961,0.709378522675189,,,11.2089201877934,1.31841680396067,14.1666666666667,1.30236269566977,,,14.175509701237,1.32337317397078
6.1150234741784,0.813523769412134,,,12.2222222222222,1.34076785544696,15.0978090766823,1.23237165591025,,,15.106001570239,1.14010624169987
7.15571205007825,0.860938719387566,,,13.1807511737089,1.33673781180192,,,,,,
8.14162754303599,0.930785239139321,,,14.1940532081377,1.23112052555733,,,,,,
9.18231611893584,0.983477233969634,,,15.1525821596244,1.23236752676717,,,,,,
10.1682316118936,1.02957705187442,,,,,,,,,,
11.1815336463224,1.07831332763512,,,,,,,,,,
12.1948356807512,1.11517625247232,,,,,,,,,,
13.20813771518,1.14544287124093,,,,,,,,,,
14.2214397496088,1.15196278816257,,,,,,,,,,
14.6870109546166,1.13345803345432,,,,,,,,,,
15.1799687010955,1.07537337776291,,,,,,,,,,
16.1384976525822,0.965802437020245,,,,,,,,,,
17.0970266040689,0.821930704720849,,,,,,,,,,
18.0829420970266,0.87066904505308,,,,,,,,,,
