MEASSHIFT_X,MEASSHIFT_Y,MEAS_X,MEAS_Y,NCRIT13_X,NCRIT13_Y,NCRIT125_X,NCRIT125_Y,NCRIT115_X,NCRIT115_Y,NCRIT90_X,NCRIT90_Y
5.49082541593338,0.0229666641258893,5.99082541593338,0.0229666641258893,-1,0.0127416688811651,-1,0.0127058868891989,-1,0.0126152921991291,-1,0.0127118450017075
9.63826309210593,0.0324344789235014,10.1382630921059,0.0324344789235014,-0.5,0.0132317646075625,-0.5,0.0131748633153094,-0.5,0.013146017023746,-0.5,0.0131787115965955
12.5971156420388,0.0445919930970961,13.0971156420388,0.0445919930970961,0,0.0135459883000433,0,0.0137445776542218,0,0.0136613544751866,0,0.0135846182404227
,,,,0.5,0.0141888464913255,0.5,0.0141349301819041,0.5,0.0139923375703545,0.5,0.0141025707257021
,,,,1,0.0147413577844998,1,0.0145828774876389,1,0.0144651411615198,1,0.0145272712286687
,,,,1.5,0.0150546669558007,1.5,0.0153043531233408,1.5,0.0150954153225201,1.5,0.0149611595749624
,,,,2,0.0157612648381944,2,0.0157854960599449,2,0.0156226187523679,2,0.0157741629575895
,,,,2.5,0.0164053819742133,2.5,0.016313980741002,2.5,0.0161292924556841,2.5,0.0161315437931446
,,,,3,0.0169975803603966,3,0.0169875476870687,3,0.0167438818313246,3,0.016743390961257
,,,,3.5,0.0176600672517562,3.5,0.0177718514399463,3.5,0.0178650394026607,3.5,0.0173037447848548
,,,,4,0.0183949604635622,4,0.0189978641201676,4,0.0184525876493402,4,0.0179172982423166
,,,,4.5,0.0198955120083633,4.5,0.0196176300768445,4.5,0.0191045253432067,4.5,0.0185625798031129
,,,,5,0.020699063386255,5,0.0203122686711599,5,0.0198356058408698,5,0.0192281208425455
,,,,5.5,0.0214594804158344,5.5,0.0209188936520208,5.5,0.0206711719049828,5.5,0.0206877561139055
,,,,6,0.0223551103200203,6,0.0220265426071449,6,0.021626139684241,6,0.0213928068435402
,,,,6.5,0.0233452271865628,6.5,0.023054428888309,6.5,0.0226267789472292,6.5,0.0221493168630398
,,,,7,0.0243951226549421,7,0.0241949911401801,7,0.0236992899697416,7,0.0229498911005227
,,,,8,0.0272205626538514,7.5,0.0253530690777201,7.5,0.0247828074656011,7.5,0.0237966781394825
,,,,8.5,0.0289129698940626,8,0.0267709213540992,8,0.0260433857506491,8.5,0.0256915401211684
,,,,9,0.0309333808825044,8.5,0.0284646580301826,8.5,0.0282696162975687,9,0.0267221397233885
,,,,9.5,0.0333268078712415,9,0.0304084616476718,9,0.0293386875034097,9.5,0.0278556246391798
,,,,10,0.0362317287500309,9.5,0.0330231688520223,9.5,0.0304564471994985,10,0.0290718035920609
,,,,10.5,0.0390643864821152,10,0.0343317036829212,10,0.0317192042285412,10.5,0.0303781312835903
,,,,11,0.0403664494358315,10.5,0.0357985312315158,10.5,0.0331242181829555,11,0.0318306028821106
,,,,11,0.0403664494358315,11,0.0374569077942205,11,0.0347398475799586,11,0.0318306028821106
,,,,11.5,0.0424440696223082,11,0.0374569077942205,11,0.0347398475799586,11.5,0.0333846659411085
,,,,12,0.0448150298413264,11.5,0.0394230889360342,11.5,0.0365666632772862,12,0.0350544612343733
,,,,12.5,0.0476039985171896,12,0.0417094884624531,12,0.0386599503113386,12.5,0.0369150395282418
,,,,13,0.0509103352373171,12.5,0.0443202071479981,12.5,0.0410596296867373,13,0.0390311342078601
,,,,13.5,0.0555684684981706,13,0.047326436524441,13,0.043863356360246,13.5,0.0414568844759869
,,,,14,0.0611586099122177,13.5,0.050939438900074,13.5,0.0470372484677192,14,0.044578408764844
,,,,14.5,0.0700097176163853,14,0.055895968312722,14,0.0509603127684147,14.5,0.0490714553218638
,,,,15,0.0844056159062846,14.5,0.0635581359694916,14.5,0.0566876057942646,15,0.0535765680841852
,,,,15.5,0.0996931919136715,15,0.0741309380607128,15,0.0636260411008959,15.5,0.0587015309639564
,,,,16,0.115445007800614,15.5,0.0875420934889429,15.5,0.0772485817094571,16,0.0659358283179925
,,,,16.5,0.130940764289223,16,0.103046162309707,16,0.0910534738941595,16.5,0.0765682093429303
,,,,17,0.154434708770154,16.5,0.120664940189507,16.5,0.106685533481156,17,0.0882260477359883
,,,,,,17,0.140568995638103,17,0.124454342870386,,
