NCRIT13_X,NCRIT13_Y,NCRIT125_X,NCRIT125_Y,NCRIT115_X,NCRIT115_Y,NCRIT90_X,NCRIT90_Y
0.0127416688811651,1.57319880641843,0.0127058868891989,1.57246165647369,0.0126152921991291,1.57200056744899,0.0127118450017075,1.56940930500036
0.0132317646075625,1.6422887522333,0.0131748633153094,1.64165005674189,0.013146017023746,1.64172319543241,0.0131787115965955,1.63888102843081
0.0135459883000433,1.71178033132229,0.0137445776542218,1.71189673324879,0.0136613544751866,1.71070816142604,0.0135846182404227,1.7082486491627
0.0141888464913255,1.78156529393443,0.0141349301819041,1.78122595172074,0.0139923375703545,1.78021976145327,0.0141025707257021,1.77700984094733
0.0147413577844998,1.85001080605671,0.0145828774876389,1.84985000987293,0.0144651411615198,1.84873602228744,0.0145272712286687,1.84585391150649
0.0150546669558007,1.91884144625764,0.0153043531233408,1.9171065304618,0.0150954153225201,1.91549404027093,0.0149611595749624,1.91425685287165
0.0157612648381944,1.98624657721564,0.0157854960599449,1.98514029708442,0.0156226187523679,1.98416901576015,0.0157741629575895,1.98171317264822
0.0164053819742133,2.05308533160957,0.016313980741002,2.05257686329288,0.0161292924556841,2.05255345650934,0.0161315437931446,2.04939327673605
0.0169975803603966,2.11999522876012,0.0169875476870687,2.11937680914098,0.0167438818313246,2.1202560734876,0.016743390961257,2.11706542932889
0.0176600672517562,2.18643326030903,0.0177718514399463,2.18676805239909,0.0178650394026607,2.18465797614183,0.0173037447848548,2.1840625891116
0.0183949604635622,2.25386054029192,0.0189978641201676,2.25001736929593,0.0184525876493402,2.25117280989085,0.0179172982423166,2.25066403302139
0.0198955120083633,2.31445364080427,0.0196176300768445,2.31593017463654,0.0191045253432067,2.31698458349249,0.0185625798031129,2.31687531880495
0.020699063386255,2.37989266831625,0.0203122686711599,2.38111409964098,0.0198356058408698,2.38179853742041,0.0192281208425455,2.38223399066009
0.0214594804158344,2.44422030066965,0.0209188936520208,2.44576220656356,0.0206711719049828,2.44581966876725,0.0206877561139055,2.44389871688846
0.0223551103200203,2.50752977992906,0.0220265426071449,2.50836761123085,0.021626139684241,2.50998575071849,0.0213928068435402,2.50826731798765
0.0233452271865628,2.56960445868691,0.023054428888309,2.57047271883827,0.0226267789472292,2.57263319451094,0.0221493168630398,2.57222343821267
0.0243951226549421,2.63095906100962,0.0241949911401801,2.63223904050322,0.0236992899697416,2.63437298390499,0.0229498911005227,2.63551260272383
0.0272205626538514,2.74969906641311,0.0253530690777201,2.69421179172624,0.0247828074656011,2.69540527003543,0.0237966781394825,2.69811862351561
0.0289129698940626,2.80555282737716,0.0267709213540992,2.75209318757634,0.0260433857506491,2.75466261266889,0.0256915401211684,2.82054732982349
0.0309333808825044,2.8584273334486,0.0284646580301826,2.8076637052127,0.0282696162975687,2.80738739581908,0.0267221397233885,2.88062929041045
0.0333268078712415,2.90741639836977,0.0304084616476718,2.86058833392603,0.0293386875034097,2.86717151828394,0.0278556246391798,2.93931468668333
0.0362317287500309,2.95289866155009,0.0330231688520223,2.91015439755604,0.0304564471994985,2.92520724745798,0.0290718035920609,2.9968329684523
0.0390643864821152,2.99692611776467,0.0343317036829212,2.96498735564824,0.0317192042285412,2.98154426236346,0.0303781312835903,3.0527507915365
0.0403664494358315,3.04953689979633,0.0357985312315158,3.01863833760728,0.0331242181829555,3.03604283400156,0.0318306028821106,3.1068257780374
0.0403664494358315,3.04953689979633,0.0374569077942205,3.06962191612629,0.0347398475799586,3.08846636406521,0.0318306028821106,3.1068257780374
0.0424440696223082,3.09547670632457,0.0374569077942205,3.06962191612629,0.0347398475799586,3.08846636406521,0.0333846659411085,3.15979640220989
0.0448150298413264,3.13861768893192,0.0394230889360342,3.11712549125484,0.0365666632772862,3.1378486593282,0.0350544612343733,3.21076707440777
0.0476039985171896,3.17975650884556,0.0417094884624531,3.16085493466054,0.0386599503113386,3.18481915681828,0.0369150395282418,3.25968507127866
0.0509103352373171,3.20272882700214,0.0443202071479981,3.20228524094443,0.0410596296867373,3.22835495393475,0.0390311342078601,3.3030471636877
0.0555684684981706,3.20526085238268,0.047326436524441,3.23251413996343,0.043863356360246,3.26410646495549,0.0414568844759869,3.34373226908812
0.0611586099122177,3.20267323019221,0.050939438900074,3.25829561545109,0.0470372484677192,3.29581338428425,0.044578408764844,3.37180724649344
0.0700097176163853,3.16765064241545,0.055895968312722,3.25544260271963,0.0509603127684147,3.31145779724489,0.0490714553218638,3.39235210372931
0.0844056159062846,3.11445428468563,0.0635581359694916,3.21227267880232,0.0566876057942646,3.29341853206565,0.0535765680841852,3.38285478361308
0.0996931919136715,3.08963977357732,0.0741309380607128,3.18268241146662,0.0636260411008959,3.27802072785066,0.0587015309639564,3.37831728188306
0.115445007800614,3.06014697716639,0.0875420934889429,3.15690224970943,0.0772485817094571,3.21613529701318,0.0659358283179925,3.36504794611191
0.130940764289223,3.03555133194528,0.103046162309707,3.13126712982105,0.0910534738941595,3.19940033080568,0.0765682093429303,3.34361040843198
0.154434708770154,2.97246853089973,0.120664940189507,3.09019616555791,0.106685533481156,3.16847451811267,0.0882260477359883,3.3374898173549
,,0.140568995638103,3.04148360380303,0.124454342870386,3.12593189621744,,
