WINDTUNNEL,,MSES,,OVERFLOW,
CD,CL,CD,CL,CD,CL
28.3106065548814,1.74358974358974,30.6227028555273,1.91185897435897,27.7776146669277,1.67681623931624
25.1572932298123,1.65010683760684,27.6981253126291,1.83173076923077,23.4047215154085,1.49519230769231
22.3853874426393,1.56997863247863,24.366694939214,1.73824786324786,20.3290489550031,1.33760683760684
20.3008851482134,1.47115384615385,22.2819751636546,1.65010683760684,17.3045932015398,1.16399572649573
18.4963898131837,1.36698717948718,20.400817729062,1.56196581196581,14.3058545921141,0.977029914529915
16.8442943824623,1.27617521367521,17.8597137948283,1.39369658119658,12.9332767882386,0.90491452991453
15.3452512994498,1.16666666666667,15.7506905025989,1.24946581196581,12.2215154085383,0.870192307692308
14.1259433244166,1.06517094017094,14.2772558230574,1.13194444444444,10.2642395772167,0.771367521367522
12.830462582371,0.955662393162393,12.62603031687,0.998397435897436,9.01883386616211,0.701923076923077
11.5094821774211,0.848824786324787,11.7115765207368,0.920940170940171,8.61393836584676,0.59241452991453
10.1631652204171,0.7366452991453,10.6442334877449,0.854166666666667,8.10769665731498,0.461538461538462
8.40890802722864,0.664529914529915,10.0852526043366,0.814102564102564,7.7031273786999,0.336004273504274
7.64603858115309,0.640491452991453,7.89853417716013,0.7366452991453,7.37570953219808,0.170405982905983
7.41762902068246,0.611111111111112,7.56828907592267,0.709935897435898,7.37712315956591,0.100961538461539
7.18927383049521,0.579059829059829,7.46928078989148,0.573717948717949,7.32862486679281,-0.016559829059829
6.91068049846676,0.514957264957265,7.26843696309345,0.44017094017094,8.32164372240708,-0.048611111111111
6.63301146125574,0.405448717948718,7.16937430677889,0.306623931623932,9.36555316326309,-0.080662393162393
6.55890476501164,0.295940170940171,7.04492072812684,0.170405982905983,10.7403601487571,-0.118055555555555
6.7394684761097,0.175747863247864,7.07275831321633,0.052884615384616,11.5552075857419,-0.147435897435897
6.71505621887301,0.125,7.60776190165503,0.020833333333334,12.4225223461865,-0.254273504273504
6.20750962354016,0.058226495726496,9.03329636154064,-0.008547008547008,,
6.02993627802788,0.031517094017095,9.28785802831604,-0.013888888888889,,
7.68469585263479,-0.008547008547008,11.7072268980666,-0.115384615384615,,
10.2552141101759,-0.03525641025641,12.1147321719841,-0.134081196581196,,
10.9428894543398,-0.067307692307692,12.8790152454275,-0.179487179487179,,
12.1157652073683,-0.18482905982906,14.1781931667428,-0.251602564102564,,
13.3395859159218,-0.305021367521368,,,,
15.0470302951219,-0.433226495726496,,,,
